ADM,CLOT,DOM,EDUC,ELEC,EXP,FDAW,FDHO,FOOT,FURN,GASO,HEAL,HHTENURE,HOUS,ID,LIFE,LOCT,MAPP,PERS,READ,REFAGE,REFEDUC,REFMS,REFRACE,REFSEX,REGION,SAPP,SIZE,SIZEAF,SIZEAM,SIZEIN,SIZEJF,SIZEJM,TELE,TEXT,TOB,TOYS,TRIP,URBAN
20,472,0,0,350,21591.35,1300,1495,107,0,950,9344,2,2861,2548124,0,0,0,150,50,57,15,5,1,2,2,0,6,2,3,0,1,0,765,0,0,50,0,1
0,0,0,0,0,14442.3,195,845,60,0,750,9263,1,1821,2621232,0,0,0,0,0,39,13,1,1,1,2,0,5,2,1,0,1,1,0,0,260,0,0,1
0,698,0,0,444,19506.7,1300,520,0,400,90,9105.7,2,2250,2551204,0,0,0,20,250,87,15,2,1,1,1,145,1,0,1,0,0,0,45,0,0,200,0,1
0,105,0,0,381,20473.25,325,1625,150,0,300,8804,2,211.25,2513715,0,0,0,0,1160,57,13,1,1,1,3,50,2,1,1,0,0,0,458,0,0,800,0,1
0,0,0,0,300,17578.44,407,780,0,0,3000,8342,2,0,2578843,0,0,0,60,45,57,12,3,1,1,3,0,1,0,1,0,0,0,210,0,715,0,0,1
0,0,300,350,297,17032,851,975,0,0,332,8241,2,1165,2546714,0,0,0,40,0,62,15,5,1,1,4,0,1,0,1,0,0,0,90,0,0,90,382,1
0,0,840,0,480,12557,0,780,0,0,150,7520,2,450,2551244,120,0,0,40,0,81,11,1,1,1,4,0,2,1,1,0,0,0,195,0,0,0,0,1
419.3333,1102,132,0,303,22993.13,980,1733.333,0,0,1300,7483,1,2574,2529945,0,0,0,216.6667,8.6667,54,13,1,3,2,3,0,5,2,1,0,0,2,442,0,0,840,950,1
0,0,0,0,539,11430.9,0,1040,0,0,316,7432.4,2,100,2623962,0,0,0,0,0,87,10,1,1,2,4,0,5,2,2,0,0,1,60,0,0,0,0,1
180,230,10,0,495,23925.77,130,823.3333,0,0,1440,7413.6,1,9381,2626142,480,0,0,9.3333,0,58,15,1,1,1,4,0,5,3,2,0,0,0,346,0,0,44,0,1
0,0,0,0,110,10737.47,69.3333,572,0,0,70,7303.133,2,997,2598083,0,0,0,30,0,87,15,1,1,1,2,0,1,0,1,0,0,0,66,0,0,0,0,1
0,205,0,0,201,11696.4,234,1001,115,0,540,7283.4,2,1170,2616912,0,0,0,57,59,76,12,1,1,1,2,0,2,1,1,0,0,0,108,0,0,0,0,1
0,100,0,0,284,12258.1,520,1124,0,0,525,7117.4,2,1725,2547564,0,0,0,12,0,68,12,1,1,2,2,0,2,1,1,0,0,0,300,0,0,0,0,1
0,35,210,0,256,27964.05,260,2015,0,0,270,7083.4,2,9780,2585553,0,0,418,40,69,75,15,1,1,2,2,0,2,1,1,0,0,0,417,0,0,156,0,1
23.3333,514,0,0,210,10854.25,193.3333,671.6667,57,400,285,7069.233,2,75,2571704,130,0,86,48,16.6667,55,15,1,1,2,3,0,3,1,1,0,0,1,235,0,0,75,0,1
0,95,0,0,360,13224.85,390,1430,12,0,750,7055.7,1,1607,2582953,0,0,0,0,25,63,15,1,1,2,2,0,2,1,1,0,0,0,216,0,390,0,0,1
0,0,0,0,317,9136.6,0,780,0,0,600,6911.6,2,138,2530195,0,0,0,0,0,87,13,1,1,2,3,0,2,1,1,0,0,0,132,0,0,0,0,1
0,250,0,0,320,12838.7,465.3333,866.6667,0,0,800,6876,2,760,2564474,0,0,0,140,0,55,12,1,1,2,2,0,3,2,1,0,0,0,54,120,0,652,0,2
122.6667,600,0,0,286,19121,2940,1213.333,40,0,600,6814,1,2265,2593163,0,0,0,0,0,56,12,1,1,1,4,0,3,2,1,0,0,0,84,20,0,0,0,1
0,587,0,0,240,12816.5,1040,2015,139,0,1200,6389.4,2,367,2619112,0,0,0,0,68,64,13,1,1,1,2,22,2,1,1,0,0,0,155,0,0,0,0,1
333.3333,313.3333,0,400,377,25294.96,433.3333,1300,0,0,400,6303,1,2446,2566544,570,206.6667,0,133.3333,105.3333,50,13,1,1,2,1,75,5,1,2,0,0,2,470,0,1456,3720,0,1
0,0,0,0,280,14547.17,177.3333,2600,0,0,700,6191.333,1,1909.667,2532185,14,0,0,0,0,44,12,1,1,2,1,0,6,2,1,0,2,1,290,0,0,136,0,1
0,195,320,0,160,16484.17,360,866.6667,35,0,1600,6175.333,1,2401.167,2635362,228,0,0,40,0,28,13,1,1,2,4,0,5,1,1,1,1,1,100,116,0,150,0,1
90.6667,806,0,1470,600,20927.4,1300,1202,0,60,3200,6175.333,4,2400,2559604,0,0,0,0,0,47,13,1,1,2,4,0,6,2,2,0,2,0,900,0,0,60,0,1
339,212,3000,0,736,22781.7,1170,1040,0,0,60,6086.7,2,3870,2516695,0,350,0,780,174,87,17,2,1,2,3,0,1,1,0,0,0,0,191,0,0,0,0,1
100,132,0,98,150,9947,325,520,53,0,150,5973,4,1791,2614304,0,0,0,25,40,20,13,5,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
359,1000,600.8,4000,176,31468.4,2900,2600,0,0,1547,5944.4,2,1068,2554984,0,0,0,500,0,72,15,1,1,1,3,0,2,1,1,0,0,0,855,0,0,990,437,1
0,77,150,0,604,11600.7,0,1170,0,0,0,5930.7,2,500,2582873,0,0,0,200,120,87,15,2,4,2,4,19,1,1,0,0,0,0,48,6,0,0,0,1
32,225,512,0,814,17399.25,1300,975,0,0,850,5763,2,850,2583133,320,0,0,25,0,62,15,1,1,2,3,0,2,1,1,0,0,0,213,60,0,600,0,1
0,210,210,150,423,15450.3,325,1803,0,0,2850,5628,2,1175,2583653,0,0,0,135,38,59,10,5,4,2,3,0,7,4,2,0,1,0,42,0,0,0,0,1
183.6667,2245.667,30,1516,272,29067.33,1079,1083.333,0,2965,680,5622.333,1,1929.5,2629042,0,0,3037,116.6667,0,43,15,1,1,1,3,217,5,1,1,0,3,0,976,0,0,265,0,1
0,0,234,4060,240,27270.94,650,1820,0,0,1560,5400,1,8892.5,2616012,0,0,0,0,0,51,15,1,4,2,1,0,4,2,2,0,0,0,300,43,0,0,0,1
